"repository_owner";"repository_url";"repository_name";"maximum(sum(delta_stargazing))";"repository_description";"repository_fork";"repository_has_wiki";"repository_pushed_at";"repository_master_branch";"repository_has_issues";"repository_has_downloads";"repository_created_at"
"yinwang0";"https://github.com/yinwang0/gems";"gems";"133.0";"my most beautiful programs";"false";"true";"2012-11-07 02:20:22";"master";"true";"true";"2011-07-22 09:27:08"
"facebook";"https://github.com/facebook/php-sdk";"php-sdk";"113.0";"We have created a new repository for this project: https://github.com/facebook/facebook-php-sdk. Please update anything you have pointing at this repostory to this location before April 1, 2012.";"false";"false";"2012-07-24 19:07:52";"master";"false";"true";"2010-04-14 09:01:32"
"maccman";"https://github.com/maccman/spine";"spine";"112.0";"Lightweight MVC library for building JavaScript applications";"false";"true";"2012-09-25 01:44:44";"";"true";"true";"2011-03-29 06:34:32"
"jayli";"https://github.com/jayli/javascript.patterns";"javascript.patterns";"103.0";"javascript.patterns";"false";"true";"2013-02-07 01:25:37";"";"true";"true";"2011-06-17 09:35:08"
"Venemo";"https://github.com/Venemo/gnome-shell-extension-weather";"gnome-shell-extension-weather";"69.0";"This branch (original opstream) is outdated, please use the fork at simon04/gnome-shell-extension-weather which is the current upstream";"false";"false";"2011-06-07 13:00:00";"master";"false";"true";"2011-04-11 16:01:26"
"github";"https://github.com/github/github-flavored-markdown";"github-flavored-markdown";"61.0";"";"false";"true";"2013-02-08 19:16:07";"";"true";"true";"2009-04-10 23:01:43"
"testacular";"https://github.com/testacular/testacular";"testacular";"60.0";"Spectacular Test Runner for JavaScript";"false";"false";"2013-03-03 00:56:57";"master";"true";"true";"2011-10-12 07:55:46"
"pypy";"https://github.com/pypy/pypy";"pypy";"57.0";"[Unofficial Mirror] PyPy is both an implementation of the Python programming language, and an extensive compiler framework for dynamic language implementations.";"false";"false";"2012-05-25 08:59:20";"master";"false";"true";"2010-03-01 01:25:09"
"apache";"https://github.com/apache/hadoop";"hadoop";"53.0";"Mirror of Apache Hadoop Core";"false";"false";"2009-07-10 00:53:37";"";"false";"true";"2009-03-27 15:41:53"
"ryppl";"https://github.com/ryppl/boost-svn";"boost-svn";"48.0";"Live mirror of https://svn.boost.org/svn/boost/. Updating approx. every two hours.";"false";"false";"2012-12-23 22:07:05";"master";"false";"true";"2010-03-25 14:23:49"
"yinwang0";"https://github.com/yinwang0/tiny-scheme";"tiny-scheme";"47.0";"a compiler from Scheme to x86_64";"false";"true";"2011-07-22 06:08:41";"master";"true";"true";"2011-07-21 16:24:32"
"zenorocha";"https://github.com/zenorocha/jquery-plugin-patterns";"jquery-plugin-patterns";"42.0";"Recommended jQuery Plugin Patterns";"true";"true";"2012-10-15 16:07:04";"";"false";"true";"2011-10-10 04:09:13"
"markmalek";"https://github.com/markmalek/Fixed-Header-Table";"Fixed-Header-Table";"41.0";"jQuery plugin for tables with fixed headers";"false";"true";"2013-04-19 16:05:06";"master";"true";"true";"2011-04-04 14:23:43"
"studiomobile";"https://github.com/studiomobile/libsasl2";"libsasl2";"41.0";"";"false";"true";"";"master";"true";"true";"2011-08-05 10:37:08"
"6wunderkinder";"https://github.com/6wunderkinder/wunderlist";"wunderlist";"38.0";"The awesome and free GTD Tool Wunderlist";"false";"false";"2012-06-25 11:37:29";"";"false";"true";"2010-10-04 12:37:49"
"danielstocks";"https://github.com/danielstocks/jQuery-Placeholder";"jQuery-Placeholder";"34.0";"A plugin that enables HTML5 placeholder support for legacy browsers";"false";"false";"2011-11-05 13:36:22";"";"true";"false";"2010-07-01 17:18:44"
"cmwdotme";"https://github.com/cmwdotme/QEMU-s5l89xx-port";"QEMU-s5l89xx-port";"32.0";"Adding support s5l89xx support to QEMU";"false";"true";"2012-08-30 23:15:28";"master";"true";"true";"2011-03-25 19:57:02"
"scikit-learn";"https://github.com/scikit-learn/scikit-learn-tutorial";"scikit-learn-tutorial";"29.0";"Applied Machine Learning in Python with scikit-learn";"false";"true";"2013-03-15 00:44:06";"master";"true";"true";"2011-03-26 10:58:20"
"claviska";"https://github.com/claviska/jquery-selectBox";"jquery-selectBox";"28.0";"A jQuery plugin for replacing <select> elements.";"false";"true";"2012-12-12 23:21:32";"master";"true";"true";"2011-04-14 03:29:36"
"ChevyRay";"https://github.com/ChevyRay/FlashPunk";"FlashPunk";"26.0";"A free ActionScript 3 library designed for developing 2D Flash games. It provides you with a fast, clean framework to prototype and develop your games in. This means that most of the dirty work (timestep, animation, input, and collision to name a few) is already coded for you and ready to go, giving you more time and energy to concentrate on the design and testing of your game.";"false";"true";"2011-08-07 13:38:11";"master";"true";"false";"2010-05-06 21:33:18"
"KentBeck";"https://github.com/KentBeck/junit";"junit";"26.0";"A programmer-oriented testing framework for Java.";"false";"true";"2013-01-18 19:57:31";"";"true";"true";"2009-01-13 03:41:26"
"linkedin";"https://github.com/linkedin/glu";"glu";"26.0";"Deployment Automation Platform";"false";"true";"2013-01-21 18:52:37";"master";"true";"true";"2010-08-07 15:27:54"
"n-time";"https://github.com/n-time/backbone.validations";"backbone.validations";"24.0";"Declarative, HTML5 Attribute-Inspired Validations for Backbone";"false";"true";"2012-10-03 16:00:30";"";"true";"true";"2011-06-03 18:09:56"
"visionmedia";"https://github.com/visionmedia/sass.js";"sass.js";"24.0";"Sass JavaScript Implementation -- for node.js and other CommonJS based frameworks";"false";"true";"2011-08-08 18:19:39";"master";"true";"true";"2009-12-31 01:18:58"
"DeNADev";"https://github.com/DeNADev/HandlerSocket-Plugin-for-MySQL";"HandlerSocket-Plugin-for-MySQL";"21.0";"";"false";"true";"2012-07-10 06:30:41";"";"true";"true";"2010-08-14 17:01:36"
"mdo";"https://github.com/mdo/Preboot.less";"Preboot.less";"21.0";"Bootstrap.less is a collection of mixins and variables for LESS that helps you quickly code with CSS.";"false";"true";"2011-09-02 23:37:05";"";"true";"true";"2011-03-20 05:51:23"
"jedie";"https://github.com/jedie/python-ping";"python-ping";"20.0";"NOT LONGER MAINTAINED! Who wants to take this repo? --- Description: A pure python ICMP ping implementation using raw sockets.";"true";"false";"2012-08-09 17:31:16";"master";"false";"true";"2011-10-12 12:10:10"
"kennethreitz-archive";"https://github.com/kennethreitz-archive/clint";"clint";"20.0";"Python Command-line Application Tools";"false";"false";"2013-01-25 04:00:09";"develop";"true";"true";"2010-10-12 02:40:00"
